team,odds,week
-200,164,18
-105,-115,18
+157,-190,18
+181,-222,18
+203,-250,18
-220,181,18
+121,-143,18
-248,203,18
-831,563,18
+121,-144,18
+140,-168,18
+104,-124,18
-241,194,18
+152,-184,18
-160,134,18
-164,138,18
