team,odds,week
Lions,-122,4
Packers,102,4
Falcons,133,4
Jaguars,-158,4
Ravens,118,4
Browns,-140,4
Bengals,-132,4
Titans,110,4
Broncos,-165,4
Bears,140,4
Rams,101,4
Colts,-121,4
Dolphins,121,4
Bills,-143,4
Vikings,-190,4
Panthers,159,4
Steelers,-161,4
Texans,136,4
Buccaneers,130,4
Saints,-153,4
Commanders,295,4
Eagles,-369,4
Raiders,201,4
Chargers,-246,4
Cardinals,596,4
49ers,-898,4
Patriots,241,4
Cowboys,-302,4
Chiefs,-453,4
Jets,347,4
Seahawks,106,4
Giants,-126,4
