team,odds,week
Jaguars,134,7
Saints,-159,7
Falcons,119,7
Buccaneers,-141,7
Lions,139,7
Ravens,-164,7
Bills,-402,7
Patriots,315,7
Raiders,-162,7
Bears,136,7
Commanders,-127,7
Giants,107,7
Browns,-127,7
Colts,107,7
Cardinals,302,7
Seahawks,-386,7
Steelers,141,7
Rams,-168,7
Packers,-120,7
Broncos,-101,7
Chargers,200,7
Chiefs,-247,7
Dolphins,108,7
Eagles,-128,7
49ers,-303,7
Vikings,242,7
