Record,Correct,Wrong,Percent,week
0-1,0,1,0,1
7-9,7,9,0.4375,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
6-10,6,10,0.375,1
7-9,7,9,0.4375,1
7-9,7,9,0.4375,1
10-7,10,7,0.5882352941176471,2
18-14,18,14,0.5625,2
18-14,18,14,0.5625,2
20-12,20,12,0.625,2
16-16,16,16,0.5,2
19-13,19,13,0.59375,2
19-13,19,13,0.59375,2
16-16,16,16,0.5,2
16-16,16,16,0.5,2
17-15,17,15,0.53125,2
20-13,20,13,0.6060606060606061,3
29-19,29,19,0.6041666666666666,3
31-17,31,17,0.6458333333333334,3
30-18,30,18,0.625,3
26-22,26,22,0.5416666666666666,3
28-20,28,20,0.5833333333333334,3
30-18,30,18,0.625,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
30-19,30,19,0.6122448979591837,4
40-24,40,24,0.625,4
42-22,42,22,0.65625,4
42-22,42,22,0.65625,4
38-26,38,26,0.59375,4
38-26,38,26,0.59375,4
40-24,40,24,0.625,4
35-29,35,29,0.546875,4
38-26,38,26,0.59375,4
39-25,39,25,0.609375,4
37-26,37,26,0.5873015873015873,5
48-30,48,30,0.6153846153846154,5
50-28,50,28,0.6410256410256411,5
51-27,51,27,0.6538461538461539,5
44-34,44,34,0.5641025641025641,5
46-32,46,32,0.5897435897435898,5
47-31,47,31,0.6025641025641025,5
42-36,42,36,0.5384615384615384,5
44-34,44,34,0.5641025641025641,5
46-32,46,32,0.5897435897435898,5
38-26,38,26,0.59375,6
58-35,58,35,0.6236559139784946,6
61-32,61,32,0.6559139784946236,6
61-32,61,32,0.6559139784946236,6
52-41,52,41,0.5591397849462365,6
55-38,55,38,0.5913978494623656,6
57-36,57,36,0.6129032258064516,6
52-41,52,41,0.5591397849462365,6
53-40,53,40,0.5698924731182796,6
53-40,53,40,0.5698924731182796,6
43-34,43,34,0.5584415584415584,7
64-42,64,42,0.6037735849056604,7
65-41,65,41,0.6132075471698113,7
65-41,65,41,0.6132075471698113,7
59-47,59,47,0.5566037735849056,7
61-45,61,45,0.5754716981132075,7
61-45,61,45,0.5754716981132075,7
56-50,56,50,0.5283018867924528,7
58-48,58,48,0.5471698113207547,7
62-44,62,44,0.5849056603773585,7
53-40,53,40,0.5698924731182796,8
75-47,75,47,0.6147540983606558,8
77-45,77,45,0.6311475409836066,8
75-47,75,47,0.6147540983606558,8
73-49,73,49,0.5983606557377049,8
70-52,70,52,0.5737704918032787,8
73-49,73,49,0.5983606557377049,8
67-55,67,55,0.5491803278688525,8
70-52,70,52,0.5737704918032787,8
72-50,72,50,0.5901639344262295,8
60-47,60,47,0.5607476635514018,9
85-51,85,51,0.625,9
86-50,86,50,0.6323529411764706,9
84-52,84,52,0.6176470588235294,9
81-55,81,55,0.5955882352941176,9
83-53,83,53,0.6102941176470589,9
84-52,84,52,0.6176470588235294,9
76-60,76,60,0.5588235294117647,9
79-57,79,57,0.5808823529411765,9
78-58,78,58,0.5735294117647058,9
