Record,Correct,Wrong,Percent,week
0-1,0,1,0,1
7-9,7,9,0.4375,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
6-10,6,10,0.375,1
7-9,7,9,0.4375,1
7-9,7,9,0.4375,1
10-7,10,7,0.5882352941176471,2
18-14,18,14,0.5625,2
18-14,18,14,0.5625,2
20-12,20,12,0.625,2
16-16,16,16,0.5,2
19-13,19,13,0.59375,2
19-13,19,13,0.59375,2
16-16,16,16,0.5,2
16-16,16,16,0.5,2
17-15,17,15,0.53125,2
20-13,20,13,0.6060606060606061,3
29-19,29,19,0.6041666666666666,3
31-17,31,17,0.6458333333333334,3
30-18,30,18,0.625,3
26-22,26,22,0.5416666666666666,3
28-20,28,20,0.5833333333333334,3
30-18,30,18,0.625,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
30-19,30,19,0.6122448979591837,4
40-24,40,24,0.625,4
42-22,42,22,0.65625,4
42-22,42,22,0.65625,4
38-26,38,26,0.59375,4
38-26,38,26,0.59375,4
40-24,40,24,0.625,4
35-29,35,29,0.546875,4
38-26,38,26,0.59375,4
39-25,39,25,0.609375,4
37-26,37,26,0.5873015873015873,5
48-30,48,30,0.6153846153846154,5
50-28,50,28,0.6410256410256411,5
51-27,51,27,0.6538461538461539,5
44-34,44,34,0.5641025641025641,5
46-32,46,32,0.5897435897435898,5
47-31,47,31,0.6025641025641025,5
42-36,42,36,0.5384615384615384,5
44-34,44,34,0.5641025641025641,5
46-32,46,32,0.5897435897435898,5
38-26,38,26,0.59375,6
58-35,58,35,0.6236559139784946,6
61-32,61,32,0.6559139784946236,6
61-32,61,32,0.6559139784946236,6
52-41,52,41,0.5591397849462365,6
55-38,55,38,0.5913978494623656,6
57-36,57,36,0.6129032258064516,6
52-41,52,41,0.5591397849462365,6
53-40,53,40,0.5698924731182796,6
53-40,53,40,0.5698924731182796,6
43-34,43,34,0.5584415584415584,7
64-42,64,42,0.6037735849056604,7
65-41,65,41,0.6132075471698113,7
65-41,65,41,0.6132075471698113,7
59-47,59,47,0.5566037735849056,7
61-45,61,45,0.5754716981132075,7
61-45,61,45,0.5754716981132075,7
56-50,56,50,0.5283018867924528,7
58-48,58,48,0.5471698113207547,7
62-44,62,44,0.5849056603773585,7
53-40,53,40,0.5698924731182796,8
75-47,75,47,0.6147540983606558,8
77-45,77,45,0.6311475409836066,8
75-47,75,47,0.6147540983606558,8
73-49,73,49,0.5983606557377049,8
70-52,70,52,0.5737704918032787,8
73-49,73,49,0.5983606557377049,8
67-55,67,55,0.5491803278688525,8
70-52,70,52,0.5737704918032787,8
72-50,72,50,0.5901639344262295,8
60-47,60,47,0.5607476635514018,9
85-51,85,51,0.625,9
86-50,86,50,0.6323529411764706,9
84-52,84,52,0.6176470588235294,9
81-55,81,55,0.5955882352941176,9
83-53,83,53,0.6102941176470589,9
84-52,84,52,0.6176470588235294,9
76-60,76,60,0.5588235294117647,9
79-57,79,57,0.5808823529411765,9
78-58,78,58,0.5735294117647058,9
71-50,71,50,0.5867768595041323,10
92-57,92,57,0.6174496644295302,10
94-56,94,56,0.6266666666666667,10
92-58,92,58,0.6133333333333333,10
88-62,88,62,0.5866666666666667,10
91-59,91,59,0.6066666666666667,10
92-58,92,58,0.6133333333333333,10
83-67,83,67,0.5533333333333333,10
87-63,87,63,0.58,10
82-68,82,68,0.5466666666666666,10
79-56,79,56,0.5851851851851851,11
99-64,99,64,0.6073619631901841,11
103-61,103,61,0.6280487804878049,11
101-63,101,63,0.6158536585365854,11
96-68,96,68,0.5853658536585366,11
101-63,101,63,0.6158536585365854,11
103-61,103,61,0.6280487804878049,11
91-73,91,73,0.5548780487804879,11
96-68,96,68,0.5853658536585366,11
94-70,94,70,0.573170731707317,11
89-62,89,62,0.5894039735099338,12
110-69,110,69,0.6145251396648045,12
113-67,113,67,0.6277777777777778,12
111-69,111,69,0.6166666666666667,12
104-76,104,76,0.5777777777777777,12
111-69,111,69,0.6166666666666667,12
112-68,112,68,0.6222222222222222,12
103-77,103,77,0.5722222222222222,12
108-72,108,72,0.6,12
105-75,105,75,0.5833333333333334,12
98-66,98,66,0.5975609756097561,13
117-75,117,75,0.609375,13
123-70,123,70,0.6373056994818653,13
118-75,118,75,0.6113989637305699,13
110-83,110,83,0.5699481865284974,13
120-73,120,73,0.6217616580310881,13
121-72,121,72,0.6269430051813472,13
112-81,112,81,0.5803108808290155,13
116-77,116,77,0.6010362694300518,13
111-82,111,82,0.5751295336787565,13
106-73,106,73,0.5921787709497207,14
124-83,124,83,0.5990338164251208,14
130-78,130,78,0.625,14
127-81,127,81,0.6105769230769231,14
120-88,120,88,0.5769230769230769,14
129-79,129,79,0.6201923076923077,14
129-79,129,79,0.6201923076923077,14
117-91,117,91,0.5625,14
123-85,123,85,0.5913461538461539,14
118-90,118,90,0.5673076923076923,14
106-73,106,73,0.5921787709497207,15
137-86,137,86,0.6143497757847534,15
140-84,140,84,0.625,15
138-86,138,86,0.6160714285714286,15
130-94,130,94,0.5803571428571429,15
137-87,137,87,0.6116071428571429,15
140-84,140,84,0.625,15
126-98,126,98,0.5625,15
135-89,135,89,0.6026785714285714,15
128-96,128,96,0.5714285714285714,15
114-81,114,81,0.5846153846153846,16
148-91,148,91,0.6192468619246861,16
149-91,149,91,0.6208333333333333,16
150-90,150,90,0.625,16
138-102,138,102,0.575,16
147-93,147,93,0.6125,16
151-89,151,89,0.6291666666666667,16
134-106,134,106,0.5583333333333333,16
143-97,143,97,0.5958333333333333,16
139-101,139,101,0.5791666666666667,16
124-87,124,87,0.5876777251184834,17
161-94,161,94,0.6313725490196078,17
162-94,162,94,0.6328125,17
162-94,162,94,0.6328125,17
146-110,146,110,0.5703125,17
160-96,160,96,0.625,17
163-93,163,93,0.63671875,17
146-110,146,110,0.5703125,17
153-103,153,103,0.59765625,17
150-106,150,106,0.5859375,17
