team,odds,week
+136,-163,15
+160,-193,15
+121,-144,15
+189,-233,15
-167,140,15
+117,-138,15
-483,366,15
+340,-443,15
+189,-231,15
+148,-177,15
+146,-174,15
+244,-308,15
-973,633,15
+113,-133,15
-182,151,15
-192,158,15
